1  0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 205.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 244.00 2 : 9.00 3 : 0.00 4 : 0.00
1 : 126.00 2 : 68.00 3 : 0.00 4 : 0.00
1 : 9.00 2 : 253.00 3 : 29.00 4 : 39.00
1 : 0.00 2 : 468.00 3 : 68.00 4 : 156.00
1 : 0.00 2 : 517.00 3 : 0.00 4 : 234.00
1 : 0.00 2 : 273.00 3 : 0.00 4 : 87.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 117.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 341.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 117.00 2 : 58.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 273.00 3 : 19.00 4 : 29.00
1 : 0.00 2 : 585.00 3 : 39.00 4 : 156.00
1 : 0.00 2 : 664.00 3 : 0.00 4 : 205.00
1 : 0.00 2 : 419.00 3 : 0.00 4 : 19.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 322.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 126.00 2 : 29.00 3 : 19.00 4 : 0.00
1 : 0.00 2 : 234.00 3 : 39.00 4 : 87.00
1 : 0.00 2 : 419.00 3 : 39.00 4 : 214.00
1 : 0.00 2 : 468.00 3 : 9.00 4 : 332.00
1 : 0.00 2 : 214.00 3 : 0.00 4 : 332.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 361.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 97.00 2 : 39.00 3 : 9.00 4 : 0.00
1 : 0.00 2 : 244.00 3 : 48.00 4 : 48.00
1 : 0.00 2 : 429.00 3 : 68.00 4 : 224.00
1 : 0.00 2 : 507.00 3 : 0.00 4 : 351.00
1 : 0.00 2 : 332.00 3 : 0.00 4 : 214.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 371.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 136.00 2 : 78.00 3 : 9.00 4 : 0.00
1 : 0.00 2 : 263.00 3 : 39.00 4 : 39.00
1 : 0.00 2 : 537.00 3 : 58.00 4 : 175.00
1 : 0.00 2 : 605.00 3 : 0.00 4 : 302.00
1 : 0.00 2 : 146.00 3 : 0.00 4 : 146.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
